date,return
1930-02-28,1.7058484
1930-03-31,1.8473615
1930-04-30,1.8353416
1930-05-31,1.8115646
1930-06-30,1.5189683999999999
1930-07-31,1.5799317
1930-08-31,1.597911
1930-09-30,1.3947126
1930-10-31,1.27621
1930-11-30,1.2543464
1930-12-31,1.1663714
1931-01-31,1.2293176000000001
1931-02-28,1.37543
1931-03-31,1.2849191999999998
1931-04-30,1.1667565
1931-05-31,1.0118586999999999
1931-06-30,1.1582503
1931-07-31,1.0764603000000001
1931-08-31,1.0923675
1931-09-30,0.7687328
1931-10-31,0.8385132
1931-11-30,0.7604914
1931-12-31,0.6548244000000001
1932-01-31,0.6396390000000001
1932-02-29,0.6777335
1932-03-31,0.6009719
1932-04-30,0.48226
1932-05-31,0.37258320000000006
1932-06-30,0.3723979
1932-07-31,0.5157978
1932-08-31,0.7131453000000001
1932-09-30,0.6902849
1932-10-31,0.5962804
1932-11-30,0.5645238
1932-12-31,0.5967992
1933-01-31,0.6040021
1933-02-28,0.49470699999999995
1933-03-31,0.513793
1933-04-30,0.7341757
1933-05-31,0.8550084000000001
1933-06-30,0.9703936
1933-07-31,0.8864118000000001
1933-08-31,0.9911459
1933-09-30,0.8809173
1933-10-31,0.8042085999999999
1933-11-30,0.8904169
1933-12-31,0.9124754999999999
1934-01-31,1.0121498
1934-02-28,0.9772158000000001
1934-03-31,0.9800253000000001
1934-04-30,0.9563148000000001
1934-05-31,0.8808065
1934-06-30,0.9020411
1934-07-31,0.8003925000000001
1934-08-31,0.8462703000000001
1934-09-30,0.8457215
1934-10-31,0.8204724
1934-11-30,0.8927828999999999
1934-12-31,0.8911186
1935-01-31,0.857453
1935-02-28,0.8260036000000001
1935-03-31,0.8027723000000001
1935-04-30,0.8835354999999999
1935-05-31,0.9152984000000001
1935-06-30,0.9800460999999999
1935-07-31,1.0652868
1935-08-31,1.0918157
1935-09-30,1.1208595
1935-10-31,1.2099305
1935-11-30,1.2601738
1935-12-31,1.3117985
1936-01-31,1.4019226
1936-02-29,1.4294361
1936-03-31,1.4693824
1936-04-30,1.3598089
1936-05-31,1.4265489
1936-06-30,1.4747762
1936-07-31,1.5812343999999998
1936-08-31,1.5988597
1936-09-30,1.606465
1936-10-31,1.7338144
1936-11-30,1.7462058999999996
1936-12-31,1.7420811
1937-01-31,1.8148384999999998
1937-02-28,1.8481246
1937-03-31,1.8365116999999997
1937-04-30,1.6913985
1937-05-31,1.6804542000000002
1937-06-30,1.5991729
1937-07-31,1.7692741
1937-08-31,1.6788351000000001
1937-09-30,1.4470399
1937-10-31,1.3071033
1937-11-30,1.1810358
1937-12-31,1.1278638
1938-01-31,1.1509898
1938-02-28,1.2284881
1938-03-31,0.9273891
1938-04-30,1.0646283
1938-05-31,1.0243871
1938-06-30,1.2845161
1938-07-31,1.3829673
1938-08-31,1.3511566000000002
1938-09-30,1.3784968
1938-10-31,1.4868059999999998
1938-11-30,1.4432395
1938-12-31,1.502304
1939-01-31,1.404123
1939-02-28,1.4550524999999999
1939-03-31,1.2624601
1939-04-30,1.2602912
